Date,AAPL US Equity
1/23/2013,67.1856
1/24/2013,58.8849
1/25/2013,57.4967
1/26/2013,57.4967
1/27/2013,57.4967
1/28/2013,58.7973
1/29/2013,59.9005
1/30/2013,59.7123
1/31/2013,59.5371
2/1/2013,59.2927
2/2/2013,59.2927
2/3/2013,59.2927
2/4/2013,57.8152
2/5/2013,59.8448
2/6/2013,59.7802
2/7/2013,61.5577
2/8/2013,62.4465
2/9/2013,62.4465
2/10/2013,62.4465
2/11/2013,63.0973
2/12/2013,61.5157
2/13/2013,61.3987
2/14/2013,61.3434
2/15/2013,60.4981
2/16/2013,60.4981
2/17/2013,60.4981
2/18/2013,60.4981
2/19/2013,60.4757
2/20/2013,59.0111
2/21/2013,58.6443
2/22/2013,59.2688
2/23/2013,59.2688
2/24/2013,59.2688
2/25/2013,58.2157
2/26/2013,59.0269
2/27/2013,58.4484
2/28/2013,58.0317
3/1/2013,56.5947
3/2/2013,56.5947
3/3/2013,56.5947
3/4/2013,55.2247
3/5/2013,56.6833
3/6/2013,55.9626
3/7/2013,56.6094
3/8/2013,56.759
3/9/2013,56.759
3/10/2013,56.759
3/11/2013,57.5676
3/12/2013,56.3265
3/13/2013,56.316
3/14/2013,56.8616
3/15/2013,58.3288
3/16/2013,58.3288
3/17/2013,58.3288
3/18/2013,59.9143
3/19/2013,59.7526
3/20/2013,59.4358
3/21/2013,59.5212
3/22/2013,60.7282
3/23/2013,60.7282
3/24/2013,60.7282
3/25/2013,60.9477
3/26/2013,60.6264
3/27/2013,59.4358
3/28/2013,58.1973
3/29/2013,58.1973
3/30/2013,58.1973
3/31/2013,58.1973
4/1/2013,56.3896
4/2/2013,56.5055
4/3/2013,56.7945
4/4/2013,56.2331
4/5/2013,55.6389
4/6/2013,55.6389
4/7/2013,55.6389
4/8/2013,56.0346
4/9/2013,56.1358
4/10/2013,57.281
4/11/2013,57.1022
4/12/2013,56.5066
4/13/2013,56.5066
4/14/2013,56.5066
4/15/2013,55.1985
4/16/2013,56.0386
4/17/2013,52.9569
4/18/2013,51.5435
4/19/2013,51.3437
4/20/2013,51.3437
4/21/2013,51.3437
4/22/2013,52.4139
4/23/2013,53.3947
4/24/2013,53.3068
4/25/2013,53.6905
4/26/2013,54.8507
4/27/2013,54.8507
4/28/2013,54.8507
4/29/2013,56.5487
4/30/2013,58.2131
5/1/2013,57.7543
5/2/2013,58.5733
5/3/2013,59.1597
5/4/2013,59.1597
5/5/2013,59.1597
5/6/2013,60.5704
5/7/2013,60.3006
5/8/2013,60.9819
5/9/2013,60.4499
5/10/2013,59.947
5/11/2013,59.947
5/12/2013,59.947
5/13/2013,60.1812
5/14/2013,58.7413
5/15/2013,56.7549
5/16/2013,57.5129
5/17/2013,57.3385
5/18/2013,57.3385
5/19/2013,57.3385
5/20/2013,58.6183
5/21/2013,58.1855
5/22/2013,58.4097
5/23/2013,58.5137
5/24/2013,58.9121
5/25/2013,58.9121
5/26/2013,58.9121
5/27/2013,58.9121
5/28/2013,58.4209
5/29/2013,58.8856
5/30/2013,59.763
5/31/2013,59.5189
6/1/2013,59.5189
6/2/2013,59.5189
6/3/2013,59.6492
6/4/2013,59.4626
6/5/2013,58.9068
6/6/2013,58.0267
6/7/2013,58.4702
6/8/2013,58.4702
6/9/2013,58.4702
6/10/2013,58.0836
6/11/2013,57.9129
6/12/2013,57.1969
6/13/2013,57.6965
6/14/2013,56.9137
6/15/2013,56.9137
6/16/2013,56.9137
6/17/2013,57.1718
6/18/2013,57.1413
6/19/2013,55.9807
6/20/2013,55.1652
6/21/2013,54.7234
6/22/2013,54.7234
6/23/2013,54.7234
6/24/2013,53.273
6/25/2013,53.2849
6/26/2013,52.6814
6/27/2013,52.1137
6/28/2013,52.4776
6/29/2013,52.4776
6/30/2013,52.4776
7/1/2013,54.157
7/2/2013,55.3838
7/3/2013,55.6895
7/4/2013,55.6895
7/5/2013,55.2422
7/6/2013,55.2422
7/7/2013,55.2422
7/8/2013,54.9286
7/9/2013,55.8947
7/10/2013,55.6803
7/11/2013,56.5482
7/12/2013,56.4452
7/13/2013,56.4452
7/14/2013,56.4452
7/15/2013,56.5683
7/16/2013,56.9329
7/17/2013,56.9481
7/18/2013,57.1397
7/19/2013,56.2388
7/20/2013,56.2388
7/21/2013,56.2388
7/22/2013,56.4187
7/23/2013,55.45
7/24/2013,58.298
7/25/2013,58.032
7/26/2013,58.3615
7/27/2013,58.3615
7/28/2013,58.3615
7/29/2013,59.2614
7/30/2013,59.9933
7/31/2013,59.8888
8/1/2013,60.4374
8/2/2013,61.2135
8/3/2013,61.2135
8/4/2013,61.2135
8/5/2013,62.128
8/6/2013,61.5721
8/7/2013,61.5364
8/8/2013,61.4138
8/9/2013,60.54
8/10/2013,60.54
