Date,USDEUR
12/13/2001,1.1191
12/14/2001,1.1063
12/17/2001,1.1085
12/18/2001,1.1063
12/19/2001,1.1107
12/20/2001,1.1111
12/21/2001,1.1246
12/24/2001,1.1403
12/25/2001,1.138
12/26/2001,1.1355
12/27/2001,1.1326
12/28/2001,1.1293
12/31/2001,1.1242
1/1/2002,1.1242
1/2/2002,1.1071
1/3/2002,1.1125
1/4/2002,1.1174
1/7/2002,1.1197
1/8/2002,1.1196
1/9/2002,1.122
1/10/2002,1.1216
1/11/2002,1.1206
1/14/2002,1.1183
1/15/2002,1.132
1/16/2002,1.1324
1/17/2002,1.1347
1/18/2002,1.1302
1/21/2002,1.1316
1/22/2002,1.1273
1/23/2002,1.1384
1/24/2002,1.1387
1/25/2002,1.1561
1/28/2002,1.1606
1/29/2002,1.1551
1/30/2002,1.161
1/31/2002,1.1636
2/1/2002,1.1604
2/4/2002,1.1497
2/5/2002,1.1525
2/6/2002,1.1529
2/7/2002,1.1492
2/8/2002,1.1465
2/11/2002,1.1408
2/12/2002,1.1405
2/13/2002,1.1482
2/14/2002,1.1446
2/15/2002,1.145
2/18/2002,1.1488
2/19/2002,1.1412
2/20/2002,1.1497
2/21/2002,1.1489
2/22/2002,1.1422
2/25/2002,1.1501
2/26/2002,1.1574
2/27/2002,1.1554
2/28/2002,1.1502
3/1/2002,1.1554
3/4/2002,1.1505
3/5/2002,1.1472
3/6/2002,1.1409
3/7/2002,1.1343
3/8/2002,1.143
3/11/2002,1.1426
3/12/2002,1.1418
3/13/2002,1.1416
3/14/2002,1.1331
3/15/2002,1.1328
3/18/2002,1.1328
3/19/2002,1.1333
3/20/2002,1.1293
3/21/2002,1.1328
3/22/2002,1.1391
3/25/2002,1.1403
3/26/2002,1.1405
3/27/2002,1.1461
3/28/2002,1.1478
3/29/2002,1.1472
4/1/2002,1.1356
4/2/2002,1.1371
4/3/2002,1.1351
4/4/2002,1.1383
4/5/2002,1.1386
4/8/2002,1.1429
4/9/2002,1.1349
4/10/2002,1.1361
4/11/2002,1.1333
4/12/2002,1.1371
4/15/2002,1.137
4/16/2002,1.1329
